COMMUNE_RESID,circo
02141,02003
02142,02002
02143,02002
02144,02002
02145,02004
02146,02005
02148,02005
02149,02002
02150,02001
02151,02001
02152,02005
02153,02001
02154,02005
02155,02001
02156,02001
02157,02001
02158,02001
02159,02004
02160,02001
02162,02005
02163,02005
02164,02005
02165,02001
02166,02005
02167,02005
02168,02005
02169,02003
02170,02002
02171,02001
02172,02005
02173,02004
02174,02005
02175,02004
02176,02005
02177,02001
02178,02001
02179,02005
02180,02001
02181,02001
02182,02003
02183,02001
02184,02003
02185,02005
02186,02005
02187,02005
02188,02003
02189,02001
02190,02005
02191,02001
02192,02005
02193,02005
02194,02003
02195,02005
02196,02001
02197,02003
02198,02005
02199,02002
02200,02001
02201,02004
02203,02005
02204,02003
02205,02001
02206,02003
02207,02004
02208,02001
02209,02005
02210,02005
02211,02001
02212,02004
02213,02005
02214,02002
02215,02001
02216,02005
02217,02004
02218,02001
02219,02004
02220,02005
02221,02005
02222,02001
02223,02005
02224,02005
02225,02005
02226,02004
02227,02005
02228,02005
02229,02001
02230,02005
02231,02001
02232,02005
02233,02005
02234,02001
02235,02001
02236,02004
02237,02001
02238,02001
02239,02005
02240,02003
02241,02005
02242,02005
02243,02004
02244,02003
02245,02004
02246,02002
02248,02003
02249,02005
02250,02001
02251,02001
02252,02001
02253,02004
02254,02004
02255,02005
02256,02001
02257,02002
02258,02005
02259,02005
02260,02001
02261,02001
02262,02001
02263,02005
02264,02001
02265,02001
02266,02001
02267,02004
02268,02005
02269,02003
02270,02002
02271,02005
02272,02005
02273,02002
02274,02001
02275,02003
02276,02003
02277,02004
02278,02003
02279,02005
02280,02005
02281,02005
02282,02001
02283,02003
02284,02003
02286,02003
02287,02002
02288,02002
02289,02005
02290,02005
02291,02002
02292,02005
02293,02003
02294,02001
02295,02003
02296,02002
02297,02005
02298,02003
02299,02001
02302,02005
02303,02002
02304,02001
02305,02005
02306,02003
02307,02005
02308,02003
02309,02001
02310,02002
02311,02005
02312,02003
02313,02003
02315,02002
02316,02005
02317,02002
02318,02004
02319,02002
02320,02002
02321,02003
02322,02002
02323,02003
02324,02003
02326,02004
02327,02002
02328,02005
02329,02001
02330,02002
02331,02003
02332,02005
02333,02004
02334,02003
02335,02001
02336,02004
02337,02003
02338,02003
02339,02005
02340,02002
02341,02003
02342,02003
02343,02002
02345,02002
02346,02001
02347,02005
02349,02001
02350,02001
02351,02005
02352,02002
02353,02003
02354,02001
02355,02002
02356,02005
02357,02003
02358,02003
02359,02002
02360,02001
02361,02003
02362,02004
02363,02004
02364,02001
02366,02003
02367,02002
02368,02005
02369,02003
02370,02002
02371,02002
02372,02005
02373,02003
02374,02002
02375,02005
02376,02003
02377,02003
02378,02003
02379,02003
02380,02002
02381,02003
02382,02002
02383,02002
02384,02003
02385,02003
02386,02003
02387,02002
02388,02003
02389,02005
02390,02002
02391,02003
02392,02002
02393,02005
02395,02004
02396,02001
02397,02002
02398,02004
02399,02001
02400,02005
02401,02003
02402,02002
02403,02003
02404,02003
02405,02003
02406,02004
02407,02001
02408,02001
02409,02001
02410,02005
02411,02005
02412,02005
02413,02001
02414,02003
02415,02004
02416,02003
02417,02002
02418,02003
02419,02003
02420,02002
02421,02005
02422,02003
02423,02004
02424,02004
02425,02003
02426,02002
02427,02005
02428,02005
02429,02001
02430,02001
02431,02004
02432,02005
02433,02001
02435,02003
02438,02005
02439,02005
02440,02001
02441,02005
02442,02005
02443,02005
02444,02003
02445,02003
02446,02002
02447,02005
02448,02001
02449,02005
02450,02003
02451,02002
02452,02002
02453,02001
02454,02001
02455,02003
02456,02004
02457,02001
02458,02005
02459,02002
02460,02003
02461,02004
02462,02005
02463,02003
02464,02005
02465,02005
02466,02005
02467,02005
02468,02003
02469,02003
02470,02003
02471,02001
02472,02001
02473,02001
02474,02004
02476,02003
02477,02004
02478,02001
02480,02001
02481,02002
02482,02001
02483,02002
02484,02005
02485,02004
02486,02001
02487,02005
02488,02003
02489,02001
02490,02001
02491,02003
02492,02001
02493,02003
02494,02003
02495,02003
02496,02005
02497,02001
02498,02001
02499,02001
02500,02003
02501,02001
02502,02001
02503,02003
02504,02002
02505,02005
02506,02005
02507,02005
02508,02001
02509,02005
02510,02005
02511,02003
02512,02005
02513,02003
02514,02004
02515,02005
02516,02003
02517,02001
02518,02005
02519,02001
02520,02005
02521,02005
02522,02003
02523,02005
02524,02005
02525,02002
02526,02001
02527,02004
02528,02004
02529,02001
02530,02001
02531,02001
02532,02002
02533,02005
02534,02001
02535,02003
02536,02005
02537,02005
02538,02005
02539,02002
02540,02005
02541,02001
02542,02004
02543,02005
02544,02003
02545,02003
02546,02004
02547,02003
02548,02003
02549,02002
02550,02001
02551,02005
02552,02003
02553,02001
02554,02005
02555,02005
02556,02001
02557,02005
02558,02003
02559,02001
02560,02001
02561,02001
02562,02004
02563,02003
02564,02004
02565,02001
02566,02004
02567,02003
02568,02005
02569,02003
02570,02002
02571,02002
02572,02001
02573,02001
02574,02003
02575,02003
02576,02004
02577,02005
02578,02001
02579,02005
02580,02005
02581,02005
02582,02001
02583,02001
02584,02003
02585,02005
02586,02001
02587,02001
02588,02001
02589,02005
02590,02005
02591,02001
02592,02003
02593,02004
02594,02005
02595,02005
02596,02005
02598,02004
02599,02004
02600,02003
02601,02001
02602,02001
02604,02002
02605,02003
02606,02005
02607,02004
02608,02003
02609,02001
02610,02004
02612,02005
02613,02001
02614,02002
02615,02002
02616,02004
02617,02001
02618,02003
02619,02001
02620,02005
02621,02001
02622,02005
02623,02003
02624,02003
02625,02003
02626,02001
02627,02001
02628,02005
